Phenotype	Control	Case	NA
ALLERGIC	123622	12749	664
OSTEOPOROSIS	131135	5142	758
ARTHRITIS	129557	6720	758
ARTHRITIS_Psoriatic	136246	31	758
ARTHRITIS_RecurrentRheumatism	136236	41	758
ARTHRITIS_FrozenShoulder	136209	68	758
ARTHRITIS_AnkylosingSpondylitis	136069	208	758
ARTHRITIS_Rheumatoid	135283	994	758
ARTHRITIS_Degenerative	131038	5239	758
GOUT	131156	5121	758
ASTHMA	131433	5057	545
EMPHYSEMA_BRONCHITIS	134960	1529	546
VALVE_HEART_DIS	130225	5809	1001
CORONARY_ARTERY_DIS	134266	1768	1001
ARRHYTHMIA	129923	6111	1001
CARDIOMYOPATHY	134988	1046	1001
CONGENITAL_HEART_DIS	135735	299	1001
OTHER_HEART_DIS	135816	218	1001
HYPERLIPIDEMIA	125787	10247	1001
HYPERTENSION	119568	16466	1001
APOPLEXIA	135148	886	1001
DIABETES	129424	7122	489
DIABETES_Type1	136481	65	489
DIABETES_Gestational	87717	208	49110
DIABETES_Type2	129665	6881	489
PEPTIC_ULCER	117113	19306	616
GASTROESOPHAGEA_REFLUX	116935	19484	616
IRRITABLE_BOWEL_SND	132966	3453	616
DEPRESSION	131182	5033	820
MANIC_DEPRESSION	135260	955	820
POSTPARTUM_DEPRESSION	135842	373	820
OBSESSIVE_COMPULSIVE_DIS	136060	155	820
ALCOHOLISM_DRUG_ABUSE	136165	50	820
SCHIZOPHRENIA	135934	281	820
EPILEPSY	136037	513	485
HEMICRANIA	132562	3988	485
MULTIPLE_SCLEROSIS	136518	32	485
PARKISON	136386	164	485
DEMENTIA	136509	41	485
LIVER_GALL_STONE	129921	6146	968
KIDNEY_STONE	127564	8503	968
RENAL_FAILURE	135891	176	968
VERTIGO	127710	8357	968
SEVERE_DYSMENORRHEA	82973	3628	50434
MYOMA	68120	18481	50434
OVARIAN_CYST	81783	4818	50434
ENDOMETRIOSIS	80207	6394	50434
CERVICAL_POLYP	83909	2692	50434
CATARACT	124661	12302	72
GLAUCOMA	135034	1929	72
XEROPHTHALMIA	121858	15105	72
RENTINAL_DETACHMENT	135139	1824	72
FLOATERS	120391	16572	72
BLIND	136728	235	72
COLOR_BLIND	136391	572	72
ARMD	6388	919	129728
MYOPIA_600	5451	989	130595
MYOPIA_1000	6300	140	130595
