Phenotype	Control	Case	NA
ALLERGIC	104256	10828	574
OSTEOPOROSIS	110743	4243	672
ARTHRITIS	109217	5769	672
ARTHRITIS_Psoriatic	114960	26	672
ARTHRITIS_RecurrentRheumatism	114947	39	672
ARTHRITIS_FrozenShoulder	114918	68	672
ARTHRITIS_AnkylosingSpondylitis	114791	195	672
ARTHRITIS_Rheumatoid	114168	818	672
ARTHRITIS_Degenerative	110472	4514	672
GOUT	110978	4008	672
ASTHMA	110800	4367	491
EMPHYSEMA_BRONCHITIS	113930	1236	492
VALVE_HEART_DIS	109709	5090	859
CORONARY_ARTERY_DIS	113316	1483	859
ARRHYTHMIA	109602	5197	859
CARDIOMYOPATHY	113896	903	859
CONGENITAL_HEART_DIS	114535	264	859
OTHER_HEART_DIS	114618	181	859
HYPERLIPIDEMIA	106061	8738	859
HYPERTENSION	100939	13860	859
APOPLEXIA	114043	756	859
DIABETES	109124	6086	448
DIABETES_Type1	115156	54	448
DIABETES_Gestational	76823	196	38639
DIABETES_Type2	109343	5867	448
PEPTIC_ULCER	98864	16236	558
GASTROESOPHAGEA_REFLUX	98286	16814	558
IRRITABLE_BOWEL_SND	112157	2943	558
DEPRESSION	110551	4348	759
MANIC_DEPRESSION	114089	810	759
POSTPARTUM_DEPRESSION	114582	317	759
OBSESSIVE_COMPULSIVE_DIS	114775	124	759
ALCOHOLISM_DRUG_ABUSE	114856	43	759
SCHIZOPHRENIA	114667	232	759
EPILEPSY	114772	433	453
HEMICRANIA	111748	3457	453
MULTIPLE_SCLEROSIS	115178	27	453
PARKISON	115061	144	453
DEMENTIA	115169	36	453
LIVER_GALL_STONE	109558	5223	877
KIDNEY_STONE	107820	6961	877
RENAL_FAILURE	114631	150	877
VERTIGO	107366	7415	877
SEVERE_DYSMENORRHEA	72566	3234	39858
MYOMA	59475	16325	39858
OVARIAN_CYST	71469	4331	39858
ENDOMETRIOSIS	70143	5657	39858
CERVICAL_POLYP	73387	2413	39858
CATARACT	105031	10559	68
GLAUCOMA	113949	1641	68
XEROPHTHALMIA	102668	12922	68
RENTINAL_DETACHMENT	114048	1542	68
FLOATERS	101505	14085	68
BLIND	115385	205	68
COLOR_BLIND	115165	425	68
ARMD	6388	803	108467
MYOPIA_600	5451	989	109218
MYOPIA_1000	6300	140	109218
