PHENOTYPE,TYPE,GROUP
BODY_HEIGHT,Quantitative,Anthropometric
BODY_WEIGHT,Quantitative,Anthropometric
BMI,Quantitative,Anthropometric
BODY_FAT_RATE,Quantitative,Anthropometric
BODY_WAISTLINE,Quantitative,Anthropometric
BODY_BUTTOCKS,Quantitative,Anthropometric
WHR,Quantitative,Anthropometric
T_SCORE,Quantitative,Bone
Z_SCORE,Quantitative,Bone
FVC,Quantitative,Lung
FEV1,Quantitative,Lung
FEV1_FVC,Quantitative,Lung
SYSTOLIC_PRESSURE,Quantitative,Cardiac
DIASTOLIC_PRESSURE,Quantitative,Cardiac
HEARTBEAT_SPEED,Quantitative,Cardiac
RBC,Quantitative,Hematological
WBC,Quantitative,Hematological
HB,Quantitative,Hematological
HCT,Quantitative,Hematological
PLATELET,Quantitative,Hematological
HBA1C,Quantitative,Metabolic
AC_GLUCOSE,Quantitative,Metabolic
T_CHO,Quantitative,Metabolic
TG,Quantitative,Metabolic
HDL_C,Quantitative,Metabolic
LDL_C,Quantitative,Metabolic
T_BILIRUBIN,Quantitative,Liver
ALBUMIN,Quantitative,Liver
SGOT,Quantitative,Liver
SGPT,Quantitative,Liver
GAMMA_GT,Quantitative,Liver
AFP,Quantitative,Liver
BUN,Quantitative,Kidney
CREATININE,Quantitative,Kidney
URIC_ACID,Quantitative,Kidney
MICROALB,Quantitative,Kidney
CREATININE_URINE,Quantitative,Kidney
EGFRcr,Quantitative,Kidney
ALLERGIC,Binary,Immune
OSTEOPOROSIS,Binary,Bone
ARTHRITIS,Binary,Bone
ARTHRITIS_AnkylosingSpondylitis,Binary,Bone
ARTHRITIS_Rheumatoid,Binary,Bone
ARTHRITIS_Degenerative,Binary,Bone
GOUT,Binary,Bone
ASTHMA,Binary,Lung
EMPHYSEMA_BRONCHITIS,Binary,Lung
VALVE_HEART_DIS,Binary,Cardiac
CORONARY_ARTERY_DIS,Binary,Cardiac
ARRHYTHMIA,Binary,Cardiac
CARDIOMYOPATHY,Binary,Cardiac
CONGENITAL_HEART_DIS,Binary,Cardiac
HYPERLIPIDEMIA,Binary,Metabolic
HYPERTENSION,Binary,Cardiac
APOPLEXIA,Binary,Cardiac
DIABETES,Binary,Metabolic
DIABETES_Gestational,Binary,Metabolic
DIABETES_Type2,Binary,Metabolic
PEPTIC_ULCER,Binary,Gastrointestinal
GASTROESOPHAGEA_REFLUX,Binary,Gastrointestinal
IRRITABLE_BOWEL_SND,Binary,Gastrointestinal
DEPRESSION,Binary,Psychiatric
MANIC_DEPRESSION,Binary,Psychiatric
SCHIZOPHRENIA,Binary,Psychiatric
EPILEPSY,Binary,Neurological
HEMICRANIA,Binary,Neurological
PARKISON,Binary,Neurological
LIVER_GALL_STONE,Binary,Hepatic
KIDNEY_STONE,Binary,Renal
RENAL_FAILURE,Binary,Renal
VERTIGO,Binary,Neurological
SEVERE_DYSMENORRHEA,Binary,Gynecological
MYOMA,Binary,Gynecological
OVARIAN_CYST,Binary,Gynecological
ENDOMETRIOSIS,Binary,Gynecological
CERVICAL_POLYP,Binary,Gynecological
CATARACT,Binary,Ophthalmic
GLAUCOMA,Binary,Ophthalmic
XEROPHTHALMIA,Binary,Ophthalmic
RENTINAL_DETACHMENT,Binary,Ophthalmic
FLOATERS,Binary,Ophthalmic
BLIND,Binary,Ophthalmic
COLOR_BLIND,Binary,Ophthalmic
ARMD,Binary,Ophthalmic
MYOPIA_600,Binary,Ophthalmic
MYOPIA_1000,Binary,Ophthalmic
